City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Kashan,IR,2021-03-27 18:29:36,33.9831,51.4364,68.04,16,0,13.58
138,Cayenne,GF,2021-03-27 18:21:25,4.9333,-52.3333,86.0,70,75,14.97
139,Ponta Delgada,PT,2021-03-27 18:29:37,37.7333,-25.6667,60.8,59,20,11.5
140,Lorengau,PG,2021-03-27 18:26:18,-2.0226,147.2712,80.76,78,99,8.1
141,Zhigansk,RU,2021-03-27 18:25:54,66.7697,123.3711,4.33,98,94,5.14
142,Juneau,US,2021-03-27 18:28:58,58.3019,-134.4197,33.8,86,90,8.05
143,Grand-Santi,GF,2021-03-27 18:29:18,4.25,-54.3833,87.82,53,81,4.36
144,Taltal,CL,2021-03-27 18:29:38,-25.4,-70.4833,68.7,67,10,5.26
145,Berlevag,NO,2021-03-27 18:27:04,70.8578,29.0864,37.69,87,99,19.04
146,Roseburg,US,2021-03-27 18:24:51,43.2165,-123.3417,59.0,71,1,0.89
147,Clyde River,CA,2021-03-27 18:26:52,70.4692,-68.5914,-0.4,71,75,1.77
148,Visby,SE,2021-03-27 18:29:08,57.6409,18.296,42.8,87,40,12.66
149,Kudirkos Naumiestis,LT,2021-03-27 18:29:38,54.7731,22.8631,50.63,67,85,13.58
150,Paciran,ID,2021-03-27 18:29:39,-6.8767,112.3761,79.21,84,88,0.54
151,Saskylakh,RU,2021-03-27 18:26:14,71.9167,114.0833,-13.07,100,100,1.39
152,Sabha,LY,2021-03-27 18:29:39,27.0377,14.4283,63.43,19,0,10.22
153,Mercedes,AR,2021-03-27 18:29:39,-34.6515,-59.4307,69.01,76,100,5.01
154,Dudinka,RU,2021-03-27 18:27:08,69.4058,86.1778,2.61,91,91,7.9
155,Malanje,AO,2021-03-27 18:29:40,-9.5402,16.341,66.69,88,94,3.47
156,Ancud,CL,2021-03-27 18:22:51,-41.8697,-73.8203,64.4,63,0,5.75
157,Llanelli,GB,2021-03-27 18:29:40,51.682,-4.1619,48.99,87,75,21.85
158,Castro,BR,2021-03-27 18:29:41,-24.7911,-50.0119,81.75,51,94,4.63
159,Hobart,AU,2021-03-27 18:25:58,-42.8794,147.3294,52.0,82,51,8.05
160,Yellowknife,CA,2021-03-27 18:22:53,62.456,-114.3525,21.0,62,75,10.36
161,Rong Kwang,TH,2021-03-27 18:29:41,18.339,100.3174,84.0,37,81,2.24
162,Tabas,IR,2021-03-27 18:29:42,33.5959,56.9244,80.6,20,83,9.84
163,Vila Franca Do Campo,PT,2021-03-27 18:23:16,37.7167,-25.4333,60.8,59,20,11.5
164,Tiarei,PF,2021-03-27 18:29:42,-17.5333,-149.3333,78.8,83,75,3.44
165,Chifeng,CN,2021-03-27 18:27:10,42.2683,118.9636,52.0,62,36,19.62
166,Opotiki,NZ,2021-03-27 18:29:42,-38.0833,177.2833,59.0,94,100,2.66
167,Ilulissat,GL,2021-03-27 18:26:17,69.2167,-51.1,-9.4,45,40,6.91
168,Soyo,AO,2021-03-27 18:29:43,-6.1349,12.3689,81.01,78,99,9.71
169,Ponta Do Sol,PT,2021-03-27 18:26:36,32.6667,-17.1,59.0,61,100,1.01
170,Khatanga,RU,2021-03-27 18:26:11,71.9667,102.5,3.02,94,100,7.38
171,Vardo,NO,2021-03-27 18:26:08,70.3705,31.1107,37.09,94,99,24.14
172,Port Blair,IN,2021-03-27 18:29:44,11.6667,92.75,81.77,78,96,4.12
173,Cairns,AU,2021-03-27 18:29:44,-16.9167,145.7667,77.0,88,75,8.05
174,Airai,TL,2021-03-27 18:22:42,-8.9266,125.4092,59.88,93,100,2.28
175,Atar,MR,2021-03-27 18:25:38,20.5169,-13.0499,98.6,23,1,4.61
176,Furukawa,JP,2021-03-27 18:29:45,38.5717,140.9556,43.29,84,100,3.74
177,Limbang,MY,2021-03-27 18:29:45,4.75,115.0,77.0,100,75,3.44
178,Young,UY,2021-03-27 18:29:45,-32.6833,-57.6333,69.01,78,76,5.99
179,Paita,PE,2021-03-27 18:29:46,-5.0892,-81.1144,89.6,43,0,12.66
180,Karratha,AU,2021-03-27 18:29:46,-20.7377,116.8463,82.92,67,78,7.31
181,Haines Junction,CA,2021-03-27 18:23:17,60.7522,-137.5108,24.8,68,99,5.75
182,Alofi,NU,2021-03-27 18:25:54,-19.0595,-169.9187,77.0,94,15,3.44
183,Mount Isa,AU,2021-03-27 18:29:47,-20.7333,139.5,80.6,28,0,11.5
184,Bathsheba,BB,2021-03-27 18:29:47,13.2167,-59.5167,82.4,57,40,20.71
185,Wahiawa,US,2021-03-27 18:26:23,21.5028,-158.0236,77.0,69,1,4.61
186,Pisco,PE,2021-03-27 18:26:51,-13.7,-76.2167,72.0,73,0,10.36
187,Faya,SA,2021-03-27 18:29:48,18.3851,42.4509,66.2,63,0,5.75
188,Pevek,RU,2021-03-27 18:29:48,69.7008,170.3133,-22.7,98,84,3.91
189,Tshikapa,CD,2021-03-27 18:27:06,-6.4167,20.8,71.08,93,96,2.71
190,Yining,CN,2021-03-27 18:29:49,29.0361,114.5636,57.81,93,30,1.21
191,Sao Filipe,CV,2021-03-27 18:29:49,14.8961,-24.4956,71.53,69,2,20.15
192,Guerrero Negro,MX,2021-03-27 18:26:07,27.9769,-114.0611,67.21,39,0,5.44
193,Norman Wells,CA,2021-03-27 18:26:38,65.282,-126.8329,6.8,78,90,10.36
194,Mareeba,AU,2021-03-27 18:29:49,-17.0,145.4333,77.0,88,75,8.05
195,Mahon,ES,2021-03-27 18:29:50,39.8885,4.2658,55.4,71,0,13.8
196,Tuatapere,NZ,2021-03-27 18:25:51,-46.1333,167.6833,55.99,93,98,1.3
197,Sala Consilina,IT,2021-03-27 18:29:50,40.3912,15.5989,52.0,84,97,1.99
198,Castel Maggiore,IT,2021-03-27 18:29:51,44.5771,11.3607,57.2,67,0,2.3
