City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Hithadhoo,MV,-0.6,73.0833,78.85,85,100,32.06,moderate rain
180,Cabedelo,BR,-6.9811,-34.8339,77.0,100,0,3.44,clear sky
181,Udachnyy,RU,66.4167,112.4,13.32,96,100,4.97,overcast clouds
182,Ilulissat,GL,69.2167,-51.1,-11.2,44,1,1.14,clear sky
183,Aswan,EG,24.0934,32.907,61.99,28,0,15.1,clear sky
184,Victoria,HK,22.2855,114.1577,77.0,87,26,7.09,scattered clouds
185,Fairbanks,US,64.8378,-147.7164,21.0,42,40,6.91,scattered clouds
186,Moose Factory,CA,51.2585,-80.6094,21.2,68,90,11.5,overcast clouds
187,Ofunato,JP,39.0717,141.7167,55.4,100,75,3.44,light rain
188,Kruisfontein,ZA,-34.0033,24.7314,62.01,78,93,3.0,overcast clouds
189,Ancud,CL,-41.8697,-73.8203,62.6,72,0,12.66,clear sky
190,Narsaq,GL,60.9167,-46.05,19.4,53,0,4.61,clear sky
191,Timra,SE,62.487,17.3257,35.01,100,90,2.3,fog
192,Grindavik,IS,63.8424,-22.4338,28.4,80,75,13.8,broken clouds
193,Salta,AR,-24.7859,-65.4117,60.8,82,40,4.61,light intensity drizzle
194,Rossosh,RU,51.1209,38.5116,35.31,97,100,5.06,overcast clouds
195,Deloraine,AU,-41.5333,146.6667,59.0,61,37,3.0,scattered clouds
196,Souillac,MU,-20.5167,57.5167,75.2,88,20,5.75,few clouds
197,Luganville,VU,-15.5333,167.1667,83.64,78,36,9.78,scattered clouds
198,Mumford,GH,5.2618,-0.759,79.59,87,82,6.64,broken clouds
199,Deniliquin,AU,-35.5333,144.9667,69.01,62,0,1.01,clear sky
200,Bredasdorp,ZA,-34.5322,20.0403,60.8,88,100,13.8,overcast clouds
201,Kysyl-Syr,RU,63.8986,122.7617,18.05,95,93,3.69,overcast clouds
202,Fukue,JP,32.6881,128.8419,60.8,88,40,2.3,mist
203,Pailon,BO,-17.65,-62.75,73.4,64,75,3.44,broken clouds
204,Capelinha,BR,-17.6914,-42.5158,65.84,71,15,3.31,few clouds
205,Flinders,AU,-34.5833,150.8552,73.0,58,3,3.0,clear sky
206,Castro,BR,-24.7911,-50.0119,64.72,91,99,4.72,overcast clouds
207,Henties Bay,NA,-22.116,14.2845,60.01,90,0,4.0,clear sky
208,Chambery,FR,45.5667,5.9333,43.0,87,0,3.44,clear sky
209,Aquitania,CO,5.5197,-72.8875,49.23,96,96,3.42,overcast clouds
210,Tukrah,LY,32.5341,20.5791,53.8,74,65,6.06,broken clouds
211,Ferry Pass,US,30.5102,-87.2125,68.0,68,90,17.27,light rain
212,Brandon,US,27.9378,-82.2859,79.0,73,1,5.75,clear sky
213,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.84,92,57,2.01,broken clouds
214,Mogwase,ZA,-25.185,27.2665,62.69,65,32,1.34,scattered clouds
215,Sovetskaya Gavan,RU,48.9723,140.2878,33.31,97,100,11.52,light snow
216,Haines Junction,CA,60.7522,-137.5108,26.6,22,20,4.61,few clouds
217,Burnie,AU,-41.0667,145.9167,56.66,54,61,11.99,broken clouds
218,Portland,US,45.5234,-122.6762,46.99,89,96,4.0,moderate rain
219,Karwar,IN,14.8,74.1333,79.88,85,91,2.84,overcast clouds
220,Coihaique,CL,-45.5752,-72.0662,55.4,82,40,3.44,scattered clouds
221,Senneterre,CA,48.3835,-77.2328,32.0,100,90,19.57,light snow
222,Kushiro,JP,42.975,144.3747,42.8,100,90,1.14,fog
223,Butaritari,KI,3.0707,172.7902,81.01,79,81,14.14,light rain
224,South Lake Tahoe,US,38.9332,-119.9844,68.0,35,1,5.75,clear sky
225,Santa Maria,BR,-29.6842,-53.8069,73.4,73,75,3.44,broken clouds
226,Gorontalo,ID,0.5412,123.0595,81.27,71,99,2.3,overcast clouds
227,Bethel,US,41.3712,-73.414,57.99,98,100,15.77,overcast clouds
228,Kyren,RU,51.6828,102.1408,29.3,73,98,0.45,overcast clouds
229,Bluff,NZ,-46.6,168.3333,62.01,89,76,11.99,broken clouds
230,Vestmannaeyjar,IS,63.4427,-20.2734,33.06,90,74,16.64,light snow
231,Abnub,EG,27.2696,31.1511,53.6,62,0,11.5,clear sky
232,Fort Nelson,CA,58.8053,-122.7002,12.2,79,90,25.32,snow
233,College,US,64.8569,-147.8028,19.4,45,90,8.05,overcast clouds
234,Bhandara,IN,21.1667,79.65,73.4,40,0,2.3,haze
235,Matara,LK,5.9485,80.5353,74.14,86,75,5.01,broken clouds
236,Olinda,BR,-8.0089,-34.8553,77.0,83,75,3.44,light rain
237,Poum,NC,-20.2333,164.0167,80.94,73,11,5.57,few clouds
238,Denpasar,ID,-8.65,115.2167,78.8,94,40,2.3,light rain
239,Saskylakh,RU,71.9167,114.0833,-1.62,97,99,3.4,overcast clouds
240,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,82,75,11.5,broken clouds
